drug1,drug2,cell,Synergy_Smean
26.0,5.0,60.0,5.6238194
5.0,26.0,60.0,5.6238194
26.0,5.0,61.0,-5.6869903
5.0,26.0,61.0,-5.6869903
26.0,5.0,62.0,-96.61714
5.0,26.0,62.0,-96.61714
26.0,5.0,63.0,-3.1403413
5.0,26.0,63.0,-3.1403413
26.0,5.0,64.0,-13.899101
5.0,26.0,64.0,-13.899101
26.0,5.0,65.0,-4.5680714
5.0,26.0,65.0,-4.5680714
26.0,5.0,66.0,-19.573322
5.0,26.0,66.0,-19.573322
26.0,5.0,67.0,-2.7219863
5.0,26.0,67.0,-2.7219863
26.0,5.0,68.0,3.6825733
5.0,26.0,68.0,3.6825733
26.0,5.0,69.0,14.421994
5.0,26.0,69.0,14.421994
26.0,6.0,38.0,9.694285
6.0,26.0,38.0,9.694285
26.0,6.0,39.0,16.56933
6.0,26.0,39.0,16.56933
26.0,6.0,40.0,13.964393
6.0,26.0,40.0,13.964393
26.0,6.0,41.0,18.429258
6.0,26.0,41.0,18.429258
26.0,6.0,42.0,22.167973
6.0,26.0,42.0,22.167973
26.0,6.0,43.0,10.543456
6.0,26.0,43.0,10.543456
26.0,6.0,44.0,15.123162
6.0,26.0,44.0,15.123162
26.0,6.0,45.0,14.452978
6.0,26.0,45.0,14.452978
26.0,6.0,46.0,9.559453
6.0,26.0,46.0,9.559453
26.0,6.0,47.0,11.337472
6.0,26.0,47.0,11.337472
26.0,6.0,48.0,-6.984395
6.0,26.0,48.0,-6.984395
26.0,6.0,49.0,12.417332
6.0,26.0,49.0,12.417332
26.0,6.0,50.0,16.149899
6.0,26.0,50.0,16.149899
26.0,6.0,51.0,-45.89376
6.0,26.0,51.0,-45.89376
26.0,6.0,52.0,0.92478627
6.0,26.0,52.0,0.92478627
26.0,6.0,53.0,24.454977
6.0,26.0,53.0,24.454977
26.0,6.0,54.0,6.37341
6.0,26.0,54.0,6.37341
26.0,6.0,55.0,7.2357583
6.0,26.0,55.0,7.2357583
26.0,6.0,56.0,28.144438
6.0,26.0,56.0,28.144438
26.0,6.0,57.0,-11.040046
6.0,26.0,57.0,-11.040046
26.0,6.0,58.0,29.201256
6.0,26.0,58.0,29.201256
26.0,6.0,59.0,11.223206
6.0,26.0,59.0,11.223206
26.0,6.0,60.0,20.987572
6.0,26.0,60.0,20.987572
26.0,6.0,61.0,17.00484
6.0,26.0,61.0,17.00484
26.0,6.0,62.0,13.954884
6.0,26.0,62.0,13.954884
26.0,6.0,63.0,21.289425
6.0,26.0,63.0,21.289425
26.0,6.0,64.0,16.210617
6.0,26.0,64.0,16.210617
26.0,6.0,65.0,0.49489045
6.0,26.0,65.0,0.49489045
26.0,6.0,66.0,17.299387
6.0,26.0,66.0,17.299387
26.0,6.0,67.0,-3.0497103
6.0,26.0,67.0,-3.0497103
26.0,6.0,68.0,17.968987
6.0,26.0,68.0,17.968987
26.0,6.0,69.0,24.413794
6.0,26.0,69.0,24.413794
26.0,7.0,38.0,7.3767095
7.0,26.0,38.0,7.3767095
26.0,7.0,39.0,0.91196394
7.0,26.0,39.0,0.91196394
26.0,7.0,40.0,7.160975
7.0,26.0,40.0,7.160975
26.0,7.0,41.0,3.596798
7.0,26.0,41.0,3.596798
26.0,7.0,42.0,7.231877
7.0,26.0,42.0,7.231877
26.0,7.0,43.0,2.6209013
7.0,26.0,43.0,2.6209013
26.0,7.0,44.0,-5.257025
7.0,26.0,44.0,-5.257025
26.0,7.0,45.0,2.9166634
7.0,26.0,45.0,2.9166634
26.0,7.0,46.0,5.3722157
7.0,26.0,46.0,5.3722157
26.0,7.0,47.0,-3.9460714
7.0,26.0,47.0,-3.9460714
26.0,7.0,48.0,16.309639
7.0,26.0,48.0,16.309639
26.0,7.0,49.0,-6.3531365
7.0,26.0,49.0,-6.3531365
26.0,7.0,50.0,5.799105
7.0,26.0,50.0,5.799105
26.0,7.0,51.0,1.4592158
7.0,26.0,51.0,1.4592158
26.0,7.0,52.0,-6.7522693
7.0,26.0,52.0,-6.7522693
26.0,7.0,53.0,-2.692735
7.0,26.0,53.0,-2.692735
26.0,7.0,54.0,-9.334811
7.0,26.0,54.0,-9.334811
26.0,7.0,55.0,3.5130377
7.0,26.0,55.0,3.5130377
26.0,7.0,56.0,-0.93892485
7.0,26.0,56.0,-0.93892485
26.0,7.0,57.0,0.28450888
7.0,26.0,57.0,0.28450888
26.0,7.0,58.0,-8.840446
7.0,26.0,58.0,-8.840446
26.0,7.0,59.0,-1.7946122
7.0,26.0,59.0,-1.7946122
26.0,7.0,60.0,5.2461805
7.0,26.0,60.0,5.2461805
26.0,7.0,61.0,-8.084248
7.0,26.0,61.0,-8.084248
26.0,7.0,62.0,-80.63897
7.0,26.0,62.0,-80.63897
26.0,7.0,63.0,2.7036052
7.0,26.0,63.0,2.7036052
26.0,7.0,64.0,-9.188164
7.0,26.0,64.0,-9.188164
26.0,7.0,65.0,-2.8512712
7.0,26.0,65.0,-2.8512712
26.0,7.0,66.0,-10.014181
7.0,26.0,66.0,-10.014181
26.0,7.0,67.0,30.679995
7.0,26.0,67.0,30.679995
26.0,7.0,68.0,-1.345401
7.0,26.0,68.0,-1.345401
26.0,7.0,69.0,14.044519
7.0,26.0,69.0,14.044519
26.0,8.0,38.0,9.728265
8.0,26.0,38.0,9.728265
26.0,8.0,39.0,8.786607
8.0,26.0,39.0,8.786607
26.0,8.0,40.0,7.6329436
8.0,26.0,40.0,7.6329436
26.0,8.0,41.0,12.327749
8.0,26.0,41.0,12.327749
26.0,8.0,42.0,17.750435
8.0,26.0,42.0,17.750435
26.0,8.0,43.0,5.159885
8.0,26.0,43.0,5.159885
26.0,8.0,44.0,10.113507
8.0,26.0,44.0,10.113507
26.0,8.0,45.0,11.712365
8.0,26.0,45.0,11.712365
26.0,8.0,46.0,0.19775362
8.0,26.0,46.0,0.19775362
26.0,8.0,47.0,17.543974
8.0,26.0,47.0,17.543974
26.0,8.0,48.0,5.038648
8.0,26.0,48.0,5.038648
26.0,8.0,49.0,3.095071
8.0,26.0,49.0,3.095071
26.0,8.0,50.0,6.6049128
8.0,26.0,50.0,6.6049128
26.0,8.0,51.0,1.0344797
8.0,26.0,51.0,1.0344797
26.0,8.0,52.0,12.219825
8.0,26.0,52.0,12.219825
26.0,8.0,53.0,1.4919158
8.0,26.0,53.0,1.4919158
26.0,8.0,54.0,4.785807
8.0,26.0,54.0,4.785807
26.0,8.0,55.0,13.778205
8.0,26.0,55.0,13.778205
26.0,8.0,56.0,10.939038
8.0,26.0,56.0,10.939038
26.0,8.0,57.0,12.205345
8.0,26.0,57.0,12.205345
26.0,8.0,58.0,3.6025834
8.0,26.0,58.0,3.6025834
26.0,8.0,59.0,14.536742
8.0,26.0,59.0,14.536742
26.0,8.0,60.0,4.778659
8.0,26.0,60.0,4.778659
26.0,8.0,61.0,0.77304363
8.0,26.0,61.0,0.77304363
26.0,8.0,62.0,-57.884533
8.0,26.0,62.0,-57.884533
26.0,8.0,63.0,6.0790005
8.0,26.0,63.0,6.0790005
26.0,8.0,64.0,8.130681
8.0,26.0,64.0,8.130681
26.0,8.0,65.0,4.815797
8.0,26.0,65.0,4.815797
26.0,8.0,66.0,-4.4571314
8.0,26.0,66.0,-4.4571314
26.0,8.0,67.0,21.158758
8.0,26.0,67.0,21.158758
26.0,8.0,68.0,6.8179164
8.0,26.0,68.0,6.8179164
26.0,8.0,69.0,12.74043
8.0,26.0,69.0,12.74043
26.0,9.0,38.0,9.192138
9.0,26.0,38.0,9.192138
26.0,9.0,39.0,8.011125
9.0,26.0,39.0,8.011125
26.0,9.0,40.0,7.4977875
9.0,26.0,40.0,7.4977875
26.0,9.0,41.0,-4.1794543
9.0,26.0,41.0,-4.1794543
26.0,9.0,42.0,3.2093463
9.0,26.0,42.0,3.2093463
26.0,9.0,43.0,7.238193
9.0,26.0,43.0,7.238193
26.0,9.0,44.0,5.3445125
9.0,26.0,44.0,5.3445125
26.0,9.0,45.0,9.688039
9.0,26.0,45.0,9.688039
26.0,9.0,46.0,4.670575
9.0,26.0,46.0,4.670575
26.0,9.0,47.0,4.533086
9.0,26.0,47.0,4.533086
26.0,9.0,48.0,-16.376497
9.0,26.0,48.0,-16.376497
26.0,9.0,49.0,17.490587
9.0,26.0,49.0,17.490587
26.0,9.0,50.0,3.6446357
9.0,26.0,50.0,3.6446357
26.0,9.0,51.0,-55.470264
9.0,26.0,51.0,-55.470264
26.0,9.0,52.0,0.9058174
9.0,26.0,52.0,0.9058174
26.0,9.0,53.0,9.956196
9.0,26.0,53.0,9.956196
26.0,9.0,54.0,-8.734799
9.0,26.0,54.0,-8.734799
26.0,9.0,55.0,-7.2635217
9.0,26.0,55.0,-7.2635217
26.0,9.0,56.0,3.6962295
9.0,26.0,56.0,3.6962295
26.0,9.0,57.0,-9.295071
9.0,26.0,57.0,-9.295071
26.0,9.0,58.0,18.011858
9.0,26.0,58.0,18.011858
26.0,9.0,59.0,14.159219
9.0,26.0,59.0,14.159219
26.0,9.0,60.0,11.544536
9.0,26.0,60.0,11.544536
26.0,9.0,61.0,3.318765
9.0,26.0,61.0,3.318765
26.0,9.0,62.0,9.483503
9.0,26.0,62.0,9.483503
26.0,9.0,63.0,11.059641
9.0,26.0,63.0,11.059641
26.0,9.0,64.0,7.118784
9.0,26.0,64.0,7.118784
26.0,9.0,65.0,-2.4181917
9.0,26.0,65.0,-2.4181917
26.0,9.0,66.0,6.9563255
9.0,26.0,66.0,6.9563255
26.0,9.0,67.0,14.909283
9.0,26.0,67.0,14.909283
26.0,9.0,68.0,9.1199465
9.0,26.0,68.0,9.1199465
26.0,9.0,69.0,10.632558
9.0,26.0,69.0,10.632558
26.0,10.0,38.0,15.900397
10.0,26.0,38.0,15.900397
26.0,10.0,39.0,18.656212
10.0,26.0,39.0,18.656212
26.0,10.0,40.0,1.4627542
10.0,26.0,40.0,1.4627542
26.0,10.0,41.0,14.1171
10.0,26.0,41.0,14.1171
26.0,10.0,42.0,23.484207
10.0,26.0,42.0,23.484207
26.0,10.0,43.0,-2.225502
10.0,26.0,43.0,-2.225502
26.0,10.0,44.0,0.20837955
10.0,26.0,44.0,0.20837955
26.0,10.0,45.0,4.1234226
10.0,26.0,45.0,4.1234226
26.0,10.0,46.0,2.021435
10.0,26.0,46.0,2.021435
26.0,10.0,47.0,15.704506
10.0,26.0,47.0,15.704506
26.0,10.0,48.0,8.305992
10.0,26.0,48.0,8.305992
26.0,10.0,49.0,0.84853053
10.0,26.0,49.0,0.84853053
26.0,10.0,50.0,11.605373
10.0,26.0,50.0,11.605373
26.0,10.0,51.0,-35.31199
10.0,26.0,51.0,-35.31199
26.0,10.0,52.0,12.960891
10.0,26.0,52.0,12.960891
26.0,10.0,53.0,14.518236
10.0,26.0,53.0,14.518236
26.0,10.0,54.0,3.929904
10.0,26.0,54.0,3.929904
26.0,10.0,55.0,12.953865
10.0,26.0,55.0,12.953865
26.0,10.0,56.0,0.7515517
10.0,26.0,56.0,0.7515517
26.0,10.0,57.0,6.2058353
10.0,26.0,57.0,6.2058353
26.0,10.0,58.0,16.367914
10.0,26.0,58.0,16.367914
26.0,10.0,59.0,22.843857
10.0,26.0,59.0,22.843857
26.0,10.0,60.0,21.998684
10.0,26.0,60.0,21.998684
26.0,10.0,61.0,13.79249
10.0,26.0,61.0,13.79249
26.0,10.0,62.0,9.528005
10.0,26.0,62.0,9.528005
26.0,10.0,63.0,18.50316
10.0,26.0,63.0,18.50316
26.0,10.0,64.0,12.725931
10.0,26.0,64.0,12.725931
26.0,10.0,65.0,12.555488
10.0,26.0,65.0,12.555488
26.0,10.0,66.0,5.172332
10.0,26.0,66.0,5.172332
26.0,10.0,67.0,5.9686103
10.0,26.0,67.0,5.9686103
26.0,10.0,68.0,16.671904
10.0,26.0,68.0,16.671904
26.0,10.0,69.0,8.882843
10.0,26.0,69.0,8.882843
26.0,11.0,38.0,6.7380595
11.0,26.0,38.0,6.7380595
26.0,11.0,39.0,9.920093
11.0,26.0,39.0,9.920093
26.0,11.0,40.0,-2.191357
11.0,26.0,40.0,-2.191357
26.0,11.0,41.0,7.285223
11.0,26.0,41.0,7.285223
26.0,11.0,42.0,7.413877
11.0,26.0,42.0,7.413877
26.0,11.0,43.0,-6.7813764
11.0,26.0,43.0,-6.7813764
26.0,11.0,44.0,-4.081487
11.0,26.0,44.0,-4.081487
26.0,11.0,45.0,8.032402
11.0,26.0,45.0,8.032402
26.0,11.0,46.0,-2.5727065
11.0,26.0,46.0,-2.5727065
26.0,11.0,47.0,3.2803166
11.0,26.0,47.0,3.2803166
26.0,11.0,48.0,-24.481491
11.0,26.0,48.0,-24.481491
26.0,11.0,49.0,-14.573716
11.0,26.0,49.0,-14.573716
26.0,11.0,50.0,2.5650628
11.0,26.0,50.0,2.5650628
26.0,11.0,51.0,-54.8482
11.0,26.0,51.0,-54.8482
26.0,11.0,52.0,-9.248017
11.0,26.0,52.0,-9.248017
26.0,11.0,53.0,1.855866
11.0,26.0,53.0,1.855866
26.0,11.0,54.0,-10.526342
11.0,26.0,54.0,-10.526342
26.0,11.0,55.0,4.4514427
11.0,26.0,55.0,4.4514427
26.0,11.0,56.0,10.336588
11.0,26.0,56.0,10.336588
26.0,11.0,57.0,-11.575963
11.0,26.0,57.0,-11.575963
26.0,11.0,58.0,-1.8376364
11.0,26.0,58.0,-1.8376364
26.0,11.0,59.0,4.9072075
11.0,26.0,59.0,4.9072075
26.0,11.0,60.0,-0.32186964
11.0,26.0,60.0,-0.32186964
26.0,11.0,61.0,1.7688754
11.0,26.0,61.0,1.7688754
26.0,11.0,62.0,3.7669647
11.0,26.0,62.0,3.7669647
26.0,11.0,63.0,0.7304384
11.0,26.0,63.0,0.7304384
26.0,11.0,64.0,-0.060945556
11.0,26.0,64.0,-0.060945556
26.0,11.0,65.0,4.271393
11.0,26.0,65.0,4.271393
26.0,11.0,66.0,-12.724515
11.0,26.0,66.0,-12.724515
26.0,11.0,67.0,-9.881816
11.0,26.0,67.0,-9.881816
26.0,11.0,68.0,1.3318645
11.0,26.0,68.0,1.3318645
26.0,11.0,69.0,10.988579
11.0,26.0,69.0,10.988579
26.0,12.0,38.0,1.8048954
12.0,26.0,38.0,1.8048954
26.0,12.0,39.0,9.260813
12.0,26.0,39.0,9.260813
26.0,12.0,40.0,8.998439
12.0,26.0,40.0,8.998439
26.0,12.0,41.0,3.5350285
12.0,26.0,41.0,3.5350285
26.0,12.0,42.0,12.584253
12.0,26.0,42.0,12.584253
26.0,12.0,43.0,-0.31414384
12.0,26.0,43.0,-0.31414384
26.0,12.0,44.0,3.5129828
12.0,26.0,44.0,3.5129828
26.0,12.0,45.0,16.570156
12.0,26.0,45.0,16.570156
26.0,12.0,46.0,0.7960237
12.0,26.0,46.0,0.7960237
26.0,12.0,47.0,12.430491
12.0,26.0,47.0,12.430491
26.0,12.0,48.0,-20.64347
12.0,26.0,48.0,-20.64347
