drug1,drug2,cell,Synergy_Smean
641,599,670,4.3225
612,327,670,32.809
327,612,670,32.809
64,274,670,-5.398
274,64,670,-5.398
585,322,670,19.526
322,585,670,19.526
218,468,670,18.408
468,218,670,18.408
218,179,670,32.5735
179,218,670,32.5735
353,186,670,6.9235
186,353,670,6.9235
274,179,670,-1.0605
179,274,670,-1.0605
49,179,670,4.05
179,49,670,4.05
49,272,670,2.316
272,49,670,2.316
207,468,670,-7.8825
468,207,670,-7.8825
644,241,670,5.631
241,644,670,5.631
335,590,670,1.637
590,335,670,1.637
335,241,670,-5.999
241,335,670,-5.999
272,599,670,-1.0545
599,272,670,-1.0545
71,49,670,-0.342
49,71,670,-0.342
322,468,670,-5.896
468,322,670,-5.896
644,30,670,10.0725
30,644,670,10.0725
612,174,670,-4.314
174,612,670,-4.314
353,241,670,3.585
241,353,670,3.585
322,398,670,1.411
398,322,670,1.411
567,218,670,21.274
218,567,670,21.274
589,241,670,2.637
241,589,670,2.637
644,641,670,-1.3755
641,644,670,-1.3755
64,207,670,1.4465
207,64,670,1.4465
207,641,670,1.3315
641,207,670,1.3315
241,274,670,-1.846
274,241,670,-1.846
644,179,670,8.7875
179,644,670,8.7875
217,30,670,-2.583
30,217,670,-2.583
217,353,670,-1.387
353,217,670,-1.387
64,519,670,-2.9785
519,64,670,-2.9785
207,599,670,3.7975
599,207,670,3.7975
474,618,670,3.9425
618,474,670,3.9425
64,49,670,4.289
49,64,670,4.289
398,179,670,-2.4905
179,398,670,-2.4905
217,207,670,9.1355
207,217,670,9.1355
519,590,670,1.5255
590,519,670,1.5255
589,71,670,-0.806
71,589,670,-0.806
612,647,670,15.1675
647,612,670,15.1675
5,468,670,9.2925
468,5,670,9.2925
186,49,670,24.3805
49,186,670,24.3805
243,71,670,8.7055
71,243,670,8.7055
589,398,670,-0.536
398,589,670,-0.536
589,590,670,-0.868
590,589,670,-0.868
335,30,670,-2.7315
30,335,670,-2.7315
49,274,670,7.0675
274,49,670,7.0675
589,30,670,0.3935
30,589,670,0.3935
217,274,670,-3.68
274,217,670,-3.68
322,30,670,5.1335
30,322,670,5.1335
272,529,670,0.4895
529,272,670,0.4895
335,217,670,3.335
217,335,670,3.335
612,5,670,8.789
5,612,670,8.789
353,322,670,-1.39
322,353,670,-1.39
590,618,670,0.7085
618,590,670,0.7085
353,243,670,-3.6225
243,353,670,-3.6225
589,64,670,-0.969
64,589,670,-0.969
612,207,670,6.5465
207,612,670,6.5465
243,641,670,11.1215
641,243,670,11.1215
644,590,670,3.0625
590,644,670,3.0625
49,398,670,1.685
398,49,670,1.685
64,398,670,-3.6215
398,64,670,-3.6215
519,71,670,14.556
71,519,670,14.556
217,272,670,1.011
272,217,670,1.011
647,322,670,8.5315
322,647,670,8.5315
353,641,670,2.0715
641,353,670,2.0715
49,468,670,13.6985
468,49,670,13.6985
647,218,670,16.394
218,647,670,16.394
5,618,670,12.411
618,5,670,12.411
217,529,670,1.2785
529,217,670,1.2785
71,274,670,-1.7635
274,71,670,-1.7635
612,599,670,-3.902
599,612,670,-3.902
30,179,670,4.287
179,30,670,4.287
398,274,670,-4.1325
274,398,670,-4.1325
590,272,670,2.177
272,590,670,2.177
612,179,670,-1.472
179,612,670,-1.472
71,618,670,4.926
618,71,670,4.926
243,241,670,-0.198
241,243,670,-0.198
64,322,670,2.4755
322,64,670,2.4755
612,217,670,5.7755
217,612,670,5.7755
612,474,670,-1.0375
474,612,670,-1.0375
398,529,670,-4.514
529,398,670,-4.514
64,590,670,-1.099
590,64,670,-1.099
567,618,670,44.709
618,567,670,44.709
49,618,670,1.2335
618,49,670,1.2335
612,49,670,16.4825
49,612,670,16.4825
519,529,670,6.82
529,519,670,6.82
179,468,670,5.5985
468,179,670,5.5985
335,644,670,12.441
644,335,670,12.441
64,179,670,-0.7185
179,64,670,-0.7185
589,217,670,-2.043
217,589,670,-2.043
217,618,670,-1.049
618,217,670,-1.049
30,218,670,22.055
218,30,670,22.055
612,567,670,24.832
567,612,670,24.832
327,618,670,-3.127
618,327,670,-3.127
612,274,670,1.2855
274,612,670,1.2855
241,179,670,-0.466
179,241,670,-0.466
519,207,670,-2.2145
207,519,670,-2.2145
519,218,670,11.509
218,519,670,11.509
218,641,670,-8.773
641,218,670,-8.773
666,322,670,3.443
322,666,670,3.443
218,529,670,7.0155
529,218,670,7.0155
64,468,670,5.415
468,64,670,5.415
589,644,670,4.754
644,589,670,4.754
71,179,670,-2.8805
179,71,670,-2.8805
327,218,670,9.8
218,327,670,9.8
207,241,670,1.903
241,207,670,1.903
644,353,670,9.372
353,644,670,9.372
647,618,670,2.841
618,647,670,2.841
612,590,670,3.9465
590,612,670,3.9465
621,322,670,35.7505
322,621,670,35.7505
589,207,670,-1.631
207,589,670,-1.631
186,179,670,31.021
179,186,670,31.021
217,590,670,0.4895
590,217,670,0.4895
519,49,670,4.7195
49,519,670,4.7195
644,529,670,2.451
529,644,670,2.451
243,322,670,4.8015
322,243,670,4.8015
5,218,670,21.9225
218,5,670,21.9225
335,641,670,0.458
641,335,670,0.458
589,529,670,-1.642
529,589,670,-1.642
272,274,670,0.3965
274,272,670,0.3965
644,186,670,16.4825
186,644,670,16.4825
641,618,670,-1.3385
618,641,670,-1.3385
243,274,670,-9.0575
274,243,670,-9.0575
644,322,670,15.8515
322,644,670,15.8515
335,519,670,11.9655
519,335,670,11.9655
666,218,670,9.5795
218,666,670,9.5795
589,353,670,-2.156
353,589,670,-2.156
243,519,670,7.979
519,243,670,7.979
519,322,670,10.868
322,519,670,10.868
30,398,670,2.6095
398,30,670,2.6095
243,590,670,-1.372
590,243,670,-1.372
589,243,670,-2.3605
243,589,670,-2.3605
207,274,670,1.1355
274,207,670,1.1355
274,529,670,-2.4795
529,274,670,-2.4795
474,322,670,6.3555
322,474,670,6.3555
186,218,670,27.811
218,186,670,27.811
71,468,670,-11.5925
468,71,670,-11.5925
590,398,670,-2.9685
398,590,670,-2.9685
217,468,670,33.926
468,217,670,33.926
30,49,670,-2.716
49,30,670,-2.716
585,618,670,2.1585
618,585,670,2.1585
612,641,670,2.26
641,612,670,2.26
322,179,670,-0.026
179,322,670,-0.026
612,468,670,0.054
468,612,670,0.054
612,589,670,1.138
589,612,670,1.138
218,64,670,6.6795
64,218,670,6.6795
241,272,670,-0.892
272,241,670,-0.892
353,519,670,-5.075
519,353,670,-5.075
49,641,670,3.2875
641,49,670,3.2875
335,71,670,2.065
71,335,670,2.065
30,529,670,2.2315
529,30,670,2.2315
612,71,670,-1.043
71,612,670,-1.043
644,243,670,17.5365
243,644,670,17.5365
335,322,670,6.9665
322,335,670,6.9665
217,71,670,-3.744
71,217,670,-3.744
218,398,670,32.4795
398,218,670,32.4795
186,599,670,3.2585
599,186,670,3.2585
243,179,670,7.1515
179,243,670,7.1515
590,49,670,2.9805
49,590,670,2.9805
519,398,670,2.9925
398,519,670,2.9925
64,71,670,-8.742
71,64,670,-8.742
589,186,670,-4.0605
186,589,670,-4.0605
179,529,670,-0.034
529,179,670,-0.034
590,641,670,0.8485
641,590,670,0.8485
599,468,670,18.913
468,599,670,18.913
585,218,670,17.483
218,585,670,17.483
243,218,670,0.0065
218,243,670,0.0065
322,218,670,25.603
218,322,670,25.603
186,519,670,6.4755
519,186,670,6.4755
207,179,670,3.5135
179,207,670,3.5135
243,49,670,23.7625
49,243,670,23.7625
218,335,670,33.5425
335,218,670,33.5425
666,618,670,5.9945
618,666,670,5.9945
567,468,670,25.7915
468,567,670,25.7915
322,274,670,3.4205
274,322,670,3.4205
644,49,670,10.93
49,644,670,10.93
589,335,670,-4.12
335,589,670,-4.12
64,618,670,2.7115
618,64,670,2.7115
186,30,670,27.021
30,186,670,27.021
335,274,670,1.0445
274,335,670,1.0445
612,272,670,1.6915
272,612,670,1.6915
621,243,670,22.537
243,621,670,22.537
647,217,670,10.613
217,647,670,10.613
327,217,670,44.3545
217,327,670,44.3545
500,217,670,6.239
217,500,670,6.239
564,217,670,2.295
217,564,670,2.295
666,217,670,7.2615
217,666,670,7.2615
144,217,670,0.056
217,144,670,0.056
531,217,670,5.026
217,531,670,5.026
600,217,670,4.4465
217,600,670,4.4465
567,243,670,27.108
243,567,670,27.108
567,174,670,30.4295
174,567,670,30.4295
647,335,670,9.0995
335,647,670,9.0995
327,335,670,32.7
335,327,670,32.7
666,335,670,7.137
335,666,670,7.137
564,335,670,5.7775
335,564,670,5.7775
567,529,670,15.418
529,567,670,15.418
500,335,670,1.241
335,500,670,1.241
600,335,670,13.4895
335,600,670,13.4895
531,335,670,5.9945
335,531,670,5.9945
327,243,670,56.359
243,327,670,56.359
647,243,670,45.4595
243,647,670,45.4595
144,335,670,6.43
335,144,670,6.43
567,335,670,29.296
335,567,670,29.296
5,174,670,21.646
174,5,670,21.646
144,243,670,18.3095
243,144,670,18.3095
531,243,670,29.403
243,531,670,29.403
600,243,670,37.013
243,600,670,37.013
5,71,670,-5.7605
71,5,670,-5.7605
564,243,670,41.038
243,564,670,41.038
666,243,670,23.0065
243,666,670,23.0065
500,243,670,46.4215
243,500,670,46.4215
621,174,670,2.356
174,621,670,2.356
585,335,670,26.028
335,585,670,26.028
474,335,670,3.863
335,474,670,3.863
567,241,670,29.4635
241,567,670,29.4635
174,335,670,-0.194
335,174,670,-0.194
621,335,670,18.144
335,621,670,18.144
567,207,670,33.123
207,567,670,33.123
647,567,670,38.476
567,647,670,38.476
327,567,670,26.0995
567,327,670,26.0995
5,335,670,-1.272
335,5,670,-1.272
500,30,670,23.6725
30,500,670,23.6725
564,30,670,19.547
30,564,670,19.547
666,30,670,27.2775
30,666,670,27.2775
531,30,670,16.87
30,531,670,16.87
600,30,670,16.392
30,600,670,16.392
144,30,670,9.751
30,144,670,9.751
531,567,670,31.7385
567,531,670,31.7385
5,207,670,8.181
207,5,670,8.181
144,567,670,30.571
567,144,670,30.571
666,567,670,27.7625
567,666,670,27.7625
564,567,670,33.649
567,564,670,33.649
621,207,670,15.105
207,621,670,15.105
647,30,670,10.488
30,647,670,10.488
327,30,670,50.73
30,327,670,50.73
144,468,670,-4.2585
468,144,670,-4.2585
600,468,670,-2.303
468,600,670,-2.303
531,468,670,2.351
468,531,670,2.351
564,468,670,10.41
468,564,670,10.41
500,468,670,-2.428
468,500,670,-2.428
174,207,670,-3.234
207,174,670,-3.234
585,207,670,19.305
207,585,670,19.305
474,207,670,7.571
207,474,670,7.571
5,621,670,20.268
621,5,670,20.268
567,30,670,34.968
30,567,670,34.968
531,207,670,8.8865
207,531,670,8.8865
600,207,670,10.75
207,600,670,10.75
144,207,670,-2.503
207,144,670,-2.503
500,207,670,1.144
207,500,670,1.144
564,207,670,8.157
207,564,670,8.157
666,207,670,7.104
207,666,670,7.104
647,207,670,0.2885
207,647,670,0.2885
327,207,670,52.2985
207,327,670,52.2985
567,64,670,34.4415
64,567,670,34.4415
5,30,670,14.7935
30,5,670,14.7935
621,30,670,27.5205
30,621,670,27.5205
585,30,670,32.2935
30,585,670,32.2935
474,30,670,29.1145
30,474,670,29.1145
500,186,670,34.2425
186,500,670,34.2425
564,186,670,42.094
186,564,670,42.094
666,186,670,-4.1695
186,666,670,-4.1695
174,30,670,25.9035
30,174,670,25.9035
5,64,670,1.393
64,5,670,1.393
144,186,670,32.3605
186,144,670,32.3605
531,186,670,37.6195
186,531,670,37.6195
600,186,670,25.9805
186,600,670,25.9805
174,71,670,-6.5545
71,174,670,-6.5545
647,186,670,29.57
186,647,670,29.57
327,186,670,39.805
186,327,670,39.805
585,64,670,24.653
64,585,670,24.653
474,64,670,9.812
64,474,670,9.812
174,64,670,-4.564
64,174,670,-4.564
621,64,670,11.209
64,621,670,11.209
327,398,670,31.076
398,327,670,31.076
647,398,670,8.815
398,647,670,8.815
5,274,670,8.5625
274,5,670,8.5625
474,71,670,12.846
71,474,670,12.846
621,186,670,-7.029
186,621,670,-7.029
567,641,670,13.3885
641,567,670,13.3885
474,186,670,8.9265
186,474,670,8.9265
585,186,670,17.461
186,585,670,17.461
585,274,670,31.141
274,585,670,31.141
474,274,670,-2.2715
274,474,670,-2.2715
174,186,670,-4.2305
186,174,670,-4.2305
585,71,670,17.782
71,585,670,17.782
174,274,670,-1.5315
274,174,670,-1.5315
531,647,670,14.8185
647,531,670,14.8185
144,647,670,19.962
647,144,670,19.962
327,64,670,45.6205
64,327,670,45.6205
647,64,670,8.6475
64,647,670,8.6475
621,274,670,16.432
274,621,670,16.432
564,64,670,5.751
64,564,670,5.751
666,64,670,6.4735
64,666,670,6.4735
666,647,670,13.293
647,666,670,13.293
500,64,670,-5.255
64,500,670,-5.255
564,647,670,14.8305
647,564,670,14.8305
531,64,670,6.7025
64,531,670,6.7025
600,64,670,10.269
64,600,670,10.269
144,64,670,-3.719
64,144,670,-3.719
666,398,670,-1.9475
398,666,670,-1.9475
144,590,670,6.434
590,144,670,6.434
5,186,670,-8.3135
186,5,670,-8.3135
531,590,670,6.8945
590,531,670,6.8945
600,590,670,7.819
590,600,670,7.819
564,398,670,6.6975
398,564,670,6.6975
500,590,670,7.2385
590,500,670,7.2385
500,398,670,2.0355
398,500,670,2.0355
564,590,670,1.7885
590,564,670,1.7885
666,590,670,2.32
590,666,670,2.32
174,641,670,-2.025
641,174,670,-2.025
585,641,670,22.2905
641,585,670,22.2905
647,590,670,9.996
590,647,670,9.996
327,590,670,36.9745
590,327,670,36.9745
474,641,670,-1.188
641,474,670,-1.188
567,274,670,25.408
274,567,670,25.408
567,186,670,-1.7365
186,567,670,-1.7365
621,641,670,4.6545
641,621,670,4.6545
5,641,670,6.059
641,5,670,6.059
5,179,670,10.8615
179,5,670,10.8615
5,241,670,0.14
241,5,670,0.14
327,274,670,39.179
274,327,670,39.179
647,274,670,12.0935
274,647,670,12.0935
500,274,670,5.409
274,500,670,5.409
666,274,670,1.218
274,666,670,1.218
564,274,670,-0.437
274,564,670,-0.437
600,274,670,5.628
274,600,670,5.628
531,274,670,4.6195
274,531,670,4.6195
144,274,670,-1.0545
274,144,670,-1.0545
144,218,670,6.1855
218,144,670,6.1855
174,179,670,-7.8105
179,174,670,-7.8105
600,218,670,6.942
218,600,670,6.942
531,218,670,14.355
218,531,670,14.355
474,179,670,-2.3615
179,474,670,-2.3615
585,179,670,25.311
179,585,670,25.311
564,218,670,6.1295
218,564,670,6.1295
500,218,670,3.6575
218,500,670,3.6575
621,590,670,20.2145
590,621,670,20.2145
621,71,670,0.1175
71,621,670,0.1175
621,179,670,17.518
179,621,670,17.518
174,590,670,-0.492
590,174,670,-0.492
144,398,670,8.288
398,144,670,8.288
474,590,670,-2.7735
590,474,670,-2.7735
474,529,670,2.087
529,474,670,2.087
585,590,670,30.13
590,585,670,30.13
600,398,670,10.676
398,600,670,10.676
531,398,670,12.1175
398,531,670,12.1175
585,529,670,20.7645
529,585,670,20.7645
5,590,670,4.0005
590,5,670,4.0005
567,179,670,29.5275
179,567,670,29.5275
564,322,670,12.22
322,564,670,12.22
647,641,670,9.1645
641,647,670,9.1645
327,641,670,39.066
641,327,670,39.066
500,322,670,13.6855
322,500,670,13.6855
621,241,670,-0.3295
241,621,670,-0.3295
327,179,670,34.172
179,327,670,34.172
647,179,670,10.294
179,647,670,10.294
531,641,670,0.7205
641,531,670,0.7205
600,641,670,-1.3705
641,600,670,-1.3705
144,641,670,-2.869
641,144,670,-2.869
567,590,670,28.351
590,567,670,28.351
144,179,670,-2.6595
179,144,670,-2.6595
531,179,670,-3.3405
179,531,670,-3.3405
600,179,670,3.3985
179,600,670,3.3985
564,641,670,-2.5725
641,564,670,-2.5725
666,641,670,-0.2685
641,666,670,-0.2685
500,641,670,2.26
641,500,670,2.26
174,529,670,-1.071
529,174,670,-1.071
564,179,670,-1.1865
179,564,670,-1.1865
666,179,670,0.2195
179,666,670,0.2195
500,179,670,-1.3585
179,500,670,-1.3585
531,322,670,12.176
322,531,670,12.176
600,322,670,17.4435
322,600,670,17.4435
144,322,670,15.5525
322,144,670,15.5525
585,241,670,25.019
241,585,670,25.019
474,241,670,3.742
241,474,670,3.742
531,585,670,28.504
585,531,670,28.504
174,241,670,-3.316
241,174,670,-3.316
144,585,670,29.338
585,144,670,29.338
621,529,670,3.997
529,621,670,3.997
564,585,670,26.204
585,564,670,26.204
666,585,670,32.36
585,666,670,32.36
5,529,670,6.726
529,5,670,6.726
327,585,670,20.6185
585,327,670,20.6185
647,585,670,29.3855
585,647,670,29.3855
567,398,670,23.8075
398,567,670,23.8075
327,71,670,49.146
71,327,670,49.146
647,71,670,5.7395
71,647,670,5.7395
144,621,670,-10.364
621,144,670,-10.364
531,621,670,7.1575
621,531,670,7.1575
647,49,670,22.447
49,647,670,22.447
327,49,670,48.4945
49,327,670,48.4945
144,71,670,1.2995
71,144,670,1.2995
564,621,670,-4.262
621,564,670,-4.262
666,621,670,16.6625
621,666,670,16.6625
600,71,670,-4.612
71,600,670,-4.612
531,71,670,-0.5375
71,531,670,-0.5375
531,49,670,13.831
49,531,670,13.831
600,49,670,14.936
49,600,670,14.936
647,621,670,22.5555
621,647,670,22.5555
327,621,670,19.2055
621,327,670,19.2055
500,241,670,8.6185
241,500,670,8.6185
666,241,670,4.5145
241,666,670,4.5145
564,241,670,4.8065
241,564,670,4.8065
144,49,670,4.62
49,144,670,4.62
666,71,670,6.0375
71,666,670,6.0375
564,71,670,10.4775
71,564,670,10.4775
500,71,670,0.643
71,500,670,0.643
564,49,670,4.704
49,564,670,4.704
666,49,670,8.2865
49,666,670,8.2865
500,49,670,6.159
49,500,670,6.159
600,241,670,7.027
241,600,670,7.027
531,241,670,9.7075
241,531,670,9.7075
144,241,670,4.0065
241,144,670,4.0065
5,398,670,10.771
398,5,670,10.771
327,241,670,38.181
241,327,670,38.181
647,241,670,4.1755
241,647,670,4.1755
474,398,670,-6.1205
398,474,670,-6.1205
585,398,670,25.52
398,585,670,25.52
174,398,670,-3.8365
398,174,670,-3.8365
327,474,670,4.82
474,327,670,4.82
647,474,670,10.8595
474,647,670,10.8595
621,398,670,0.893
398,621,670,0.893
621,585,670,32.254
585,621,670,32.254
474,353,670,9.699
353,474,670,9.699
585,353,670,23.107
353,585,670,23.107
174,353,670,3.444
353,174,670,3.444
5,49,670,17.202
49,5,670,17.202
621,353,670,-0.8345
353,621,670,-0.8345
564,474,670,1.0475
474,564,670,1.0475
5,353,670,7.135
353,5,670,7.135
666,474,670,2.0185
474,666,670,2.0185
327,599,670,28.452
599,327,670,28.452
647,599,670,8.61
599,647,670,8.61
174,49,670,8.6315
49,174,670,8.6315
567,644,670,29.375
644,567,670,29.375
585,49,670,40.412
49,585,670,40.412
531,599,670,3.3605
599,531,670,3.3605
600,599,670,8.055
599,600,670,8.055
567,353,670,22.3135
353,567,670,22.3135
474,49,670,5.968
49,474,670,5.968
144,599,670,1.982
599,144,670,1.982
621,49,670,20.8235
49,621,670,20.8235
500,599,670,3.134
599,500,670,3.134
567,621,670,30.012
